family,familykey,genus,genuskey,species,specieskey,IUCNGlobalScopeCategory,IUCNEuropeScopeCategory,IUCNMediterrScopeCategory,OtherNationalCategory,OtherRegionalCategory,IUCNHabitatCodes,IUCNSuitability_Suitable,IUCNMajorImportance_Yes,Analysis,Note
Mustelidae,5307.0,Mustela,2433922.0,Mustela putorius,5218911.0,LC,,,,En perill d'extinció,"1.4,3.4,3.8,4.4,5.1,5.2,5.3,5.4,5.7,5.8,13.3,14.1,14.2,14.4","1.4,3.4,3.8,4.4,5.1,5.2,5.3,5.4,5.7,5.8,13.3,14.1,14.2,14.4",,,
Mustelidae,5307.0,Mustela,2433922.0,Mustela erminea,5219019.0,LC,,,LESRPE,Vulnerable,"1.1,1.2,1.4,3.1,3.3,3.4,4.1,4.2,4.4,5.1,5.3,6,14.2,14.3","1.1,1.2,1.4,3.1,3.3,3.4,4.1,4.2,4.4,5.1,5.3,14.2,14.3","1.2,1.4,3.1,3.3,3.4,4.1,4.2,4.4,5.3,14.3",,
Vespertilionidae,9368.0,Myotis,2432384.0,Myotis capaccinii,2432430.0,VU,,,En peligro de extinción,En perill d'extinció,,,,,
Soricidae,5534.0,Crocidura,2435528.0,Crocidura russula,2435654.0,LC,,,,En perill d'extinció,,,,,
Hyperoodontidae,5316.0,Mesoplodon,2440393.0,Mesoplodon densirostris,2440403.0,LC,,,LESRPE,,,,,,
Cricetidae,3240723.0,Myodes,2438724.0,Myodes glareolus,5706764.0,LC,,,,,,,,,
Vespertilionidae,9368.0,Myotis,2432384.0,Myotis escalerai,8181305.0,LC,,,LESRPE,Protegida,,,,,
Muridae,5510.0,Mus,9800657.0,Mus spretus,2438793.0,LC,,,,,,,,,
Vespertilionidae,9368.0,Myotis,2432384.0,Myotis myotis,2432416.0,LC,,,Vulnerable,Vulnerable,,,,,
Soricidae,5534.0,Sorex,2435935.0,Sorex coronatus,2436090.0,LC,,,,En perill d'extinció,"1.4,3.4,5.4","1.4,3.4,5.4",,,
Balaenopteridae,5313.0,Balaenoptera,2440708.0,Balaenoptera acutorostrata,2440728.0,LC,,,Vulnerable,,,,,,
Procyonidae,5311.0,Procyon,2433592.0,Procyon lotor,5218786.0,LC,,,,Extinta com a reproductora,,,,,
Vespertilionidae,9368.0,Plecotus,5428957.0,Plecotus austriacus,5739437.0,NT,,,LESRPE,Protegida,,,,,
Cricetidae,3240723.0,Microtus,2438591.0,Microtus duodecimcostatus,2438619.0,LC,,,,,,,,,
Cricetidae,3240723.0,Chionomys,2438159.0,Chionomys nivalis,2438162.0,LC,,,,En perill d'extinció,,,,,
Delphinidae,5314.0,Stenella,2440546.0,Stenella attenuata,5220050.0,LC,,,,,,,,,
Vespertilionidae,9368.0,Pipistrellus,2432218.0,Pipistrellus nathusii,5218471.0,LC,,,LESRPE,Vulnerable,,,,,
Cricetidae,3240723.0,Microtus,2438591.0,Microtus arvalis,2438606.0,LC,,,,,,,,,
Cricetidae,3240723.0,Arvicola,2438490.0,Arvicola scherman,4265186.0,LC,,,,,,,,,
Gliridae,3240562.0,Glis,3240565.0,Glis glis,5706486.0,LC,,,,Protegida,"1.4,3.4,3.8,14.3,14.4","1.4,3.4,3.8,14.3,14.4",,,
Soricidae,5534.0,Suncus,2435504.0,Suncus etruscus,2435506.0,LC,,,,,,,,,
Felidae,9703.0,Lynx,2435239.0,Lynx pardinus,2435261.0,EN,,,En peligro de extinción,Extinta com a reproductora,"1.4,3.8,17","1.4,3.8","1.4,3.8",,
Balaenopteridae,5313.0,Balaenoptera,2440708.0,Balaenoptera edeni,2440714.0,LC,,,LESRPE,,,,,,
Bovidae,9614.0,Ovis,9531221.0,Ovis ammon,2441122.0,NT,,,,,,,,,
