scientificName
Coronella girondica
Hemidactylus turcicus
Hemorrhois hippocrepis
Hierophis viridiflavus
Iberolacerta aranica
Iberolacerta aurelioi
Iberolacerta bonnali
Lacerta agilis
Lacerta bilineata
Malpolon monspessulanus
Natrix astreptophora (= Natrix natrix)
Natrix helvetica (= Natrix natrix)
Natrix maura
Podarcis liolepis (= Podarcis hispanica)
Podarcis muralis
Psammodromus algirus
Psammodromus edwarsianus (= Psammodromus hispanicus)
Tarentola mauritanica
Timon lepidus (= Lacerta lepida)
Vipera aspis
Vipera latastei
Zamenis longissimus
Zamenis scalaris (= Rinechis scalaris = Elaphe scalaris)
Zootoca vivipara
Caretta caretta
Chelonia mydas
Dermochelys coriacea
Emys orbicularis
Mauremys leprosa
Testudo hermanni
