kingdom,id,scientificName,scientificName
Aves,12164,Emberiza schoeniclus whiterby/lusitanica,"Emberiza schoeniclus witherbyi von Jordans, 1923 "
Aves,12111,Erithacus rubecula,"Erithacus rubecula (Linnaeus, 1758)"
Aves,11059,Falco columbarius,"Falco columbarius Linnaeus, 1758"
Aves,11198,Falco eleonorae,"Falco eleonorae Géné, 1839"
Aves,11817,Falco naumanni,"Falco naumanni Fleischer, JG, 1818"
Aves,11963,Falco peregrinus,"Falco peregrinus Tunstall, 1771"
Aves,32346,Falco peregrinus pelegrinoides,"Falco peregrinus pelegrinoides Temminck, 1829"
Aves,12262,Falco subbuteo,"Falco subbuteo Linnaeus, 1758"
Aves,12321,Falco tinnunculus,"Falco tinnunculus Linnaeus, 1758"
Aves,16303,Falco vespertinus,"Falco vespertinus Linnaeus, 1766"
Aves,11483,Ficedula hypoleuca,"Ficedula hypoleuca (Pallas, 1764)"
Aves,14092,Fratercula arctica,"Fratercula arctica (Linnaeus, 1758)"
Aves,11047,Fringilla coelebs,"Fringilla coelebs Linnaeus, 1758"
Aves,16433,Fringilla montifringilla ,"Fringilla montifringilla Linnaeus, 1758"
Aves,33011,Fringilla teydea polatzeki,"Fringilla polatzeki Hartert, 1905"
Aves,12315,Fringilla teydea teydea,"Fringilla teydea Webb, Berthelot & Moquin-Tandon, 1842"
Aves,11101,Fulica cristata,"Fulica cristata Gmelin, JF, 1789"
Aves,14006,Fulmarus glacialis,"Fulmarus glacialis (Linnaeus, 1761)"
Aves,11102,Galerida cristata  ,"Galerida cristata (Linnaeus, 1758)"
Aves,12316,Galerida theklae,"Galerida theklae Brehm, AE, 1857"
Aves,13998,Gavia arctica,"Gavia arctica (Linnaeus, 1758)"
Aves,14000,Gavia immer,"Gavia immer (Brünnich, 1764)"
Aves,13997,Gavia stellata,"Gavia stellata (Pontoppidan, 1763)"
Aves,14072,Gelochelidon nilotica ,"Gelochelidon nilotica (Gmelin, 1789)"
Aves,16288,Geronticus eremita,"Geronticus eremita (Linnaeus, 1758)"
Aves,12021,Glareola pratincola,"Glareola pratincola (Linnaeus, 1766)"
Aves,16315,Grus grus,"Grus grus (Linnaeus, 1758)"
Aves,10822,Gypaetus barbatus,"Gypaetus barbatus (Linnaeus, 1758)"
Aves,11313,Gyps fulvus,"Gyps fulvus (Hablizl, 1783)"
Aves,11917,Haematopus ostralegus,"Haematopus ostralegus Linnaeus, 1758"
Aves,16302,Hieraaetus fasciatus  ,"Aquila fasciata Vieillot, 1822"
